age,year,improvement_rate
24,1997,0.0322
24,1998,0.0246
24,1999,0.014
24,2000,0.0025
24,2001,-0.0076
24,2002,-0.014400000000000001
24,2003,-0.0171
24,2004,-0.0155
24,2005,-0.0102
24,2006,-0.0022
24,2007,0.006900000000000001
24,2008,0.0148
24,2009,0.0198
24,2010,0.0213
24,2011,0.0199
24,2012,0.0167
24,2013,0.0186
24,2014,0.0202
24,2015,0.0213
24,2016,0.022
24,2017,0.0209
24,2018,0.0197
24,2019,0.0186
24,2020,0.0174
24,2021,0.0164
24,2022,0.0155
24,2023,0.0146
24,2024,0.0138
24,2025,0.0131
24,2026,0.0124
24,2027,0.0117
24,2028,0.0111
24,2029,0.0107
24,2030,0.0103
24,2031,0.0101
25,1951,0.0028
25,1952,0.0078000000000000005
25,1953,0.0125
25,1954,0.016300000000000002
25,1955,0.0188
25,1956,0.0199
25,1957,0.0193
25,1958,0.016900000000000002
25,1959,0.0126
25,1960,0.0067
25,1961,-0.0004
25,1962,-0.0082
25,1963,-0.0159
25,1964,-0.0224
25,1965,-0.027
25,1966,-0.029
25,1967,-0.028
25,1968,-0.024
25,1969,-0.0175
25,1970,-0.0097
25,1971,-0.0019
25,1972,0.0048000000000000004
25,1973,0.0097
25,1974,0.0126
25,1975,0.0135
25,1976,0.013300000000000001
25,1977,0.0129
25,1978,0.0137
25,1979,0.016
25,1980,0.0196
25,1981,0.0228
25,1982,0.0235
25,1983,0.0205
25,1984,0.014100000000000001
25,1985,0.006200000000000001
25,1986,-0.0009000000000000001
25,1987,-0.0056
25,1988,-0.007
25,1989,-0.0049
25,1990,0.00030000000000000003
25,1991,0.0077
25,1992,0.0164
25,1993,0.0251
25,1994,0.0329
25,1995,0.0383
25,1996,0.0398
25,1997,0.0364
25,1998,0.028200000000000003
25,1999,0.0165
25,2000,0.0038
25,2001,-0.0074
25,2002,-0.0151
25,2003,-0.018500000000000003
25,2004,-0.0176
25,2005,-0.0126
25,2006,-0.0049
25,2007,0.0038
25,2008,0.011300000000000001
25,2009,0.016
25,2010,0.0173
25,2011,0.0159
25,2012,0.0126
25,2013,0.0146
25,2014,0.0164
25,2015,0.0179
25,2016,0.0191
25,2017,0.0199
25,2018,0.019
25,2019,0.0181
25,2020,0.0172
25,2021,0.0163
25,2022,0.0155
25,2023,0.0146
25,2024,0.0138
25,2025,0.0131
25,2026,0.0124
25,2027,0.0117
25,2028,0.0111
25,2029,0.0107
25,2030,0.0103
25,2031,0.0101
26,1951,0.009000000000000001
26,1952,0.012700000000000001
26,1953,0.0161
26,1954,0.018600000000000002
26,1955,0.0199
26,1956,0.0198
26,1957,0.0183
26,1958,0.015300000000000001
26,1959,0.010700000000000001
26,1960,0.005
26,1961,-0.0017000000000000001
26,1962,-0.009000000000000001
26,1963,-0.0159
26,1964,-0.0216
26,1965,-0.025500000000000002
26,1966,-0.0269
26,1967,-0.0256
26,1968,-0.0216
26,1969,-0.0154
26,1970,-0.008
26,1971,-0.0007
26,1972,0.0056
26,1973,0.0103
26,1974,0.013000000000000001
26,1975,0.013800000000000002
26,1976,0.0134
26,1977,0.0126
26,1978,0.012700000000000001
26,1979,0.0142
26,1980,0.017
26,1981,0.0195
26,1982,0.0198
26,1983,0.0165
26,1984,0.010100000000000001
26,1985,0.0023
26,1986,-0.0047
26,1987,-0.0091
26,1988,-0.010100000000000001
26,1989,-0.0074
26,1990,-0.0014
26,1991,0.0071
26,1992,0.017
26,1993,0.027
26,1994,0.036000000000000004
26,1995,0.0425
26,1996,0.044700000000000004
26,1997,0.0415
26,1998,0.0328
26,1999,0.020300000000000002
26,2000,0.006500000000000001
26,2001,-0.0059
26,2002,-0.0146
26,2003,-0.0189
26,2004,-0.018600000000000002
26,2005,-0.0143
26,2006,-0.0071
26,2007,0.0011
26,2008,0.0082
26,2009,0.0125
26,2010,0.013600000000000001
26,2011,0.0119
26,2012,0.0085
26,2013,0.0106
26,2014,0.0126
26,2015,0.0145
26,2016,0.0161
26,2017,0.0174
26,2018,0.0183
26,2019,0.0177
26,2020,0.017
26,2021,0.0163
26,2022,0.0155
26,2023,0.0146
26,2024,0.0138
26,2025,0.0131
26,2026,0.0124
26,2027,0.0117
26,2028,0.0111
26,2029,0.0107
26,2030,0.0103
26,2031,0.0101
27,1951,0.015300000000000001
27,1952,0.0176
27,1953,0.0196
27,1954,0.0207
27,1955,0.0207
27,1956,0.0195
27,1957,0.0171
27,1958,0.013600000000000001
27,1959,0.0089
27,1960,0.0033
27,1961,-0.003
27,1962,-0.009600000000000001
27,1963,-0.0158
27,1964,-0.020900000000000002
27,1965,-0.024
27,1966,-0.024900000000000002
27,1967,-0.0234
27,1968,-0.0194
27,1969,-0.0134
27,1970,-0.0064
27,1971,0.0005
27,1972,0.0066
27,1973,0.0112
27,1974,0.013900000000000001
27,1975,0.014700000000000001
27,1976,0.014100000000000001
27,1977,0.0129
27,1978,0.0122
27,1979,0.0128
27,1980,0.0145
27,1981,0.016
27,1982,0.015600000000000001
27,1983,0.0119
27,1984,0.0054
27,1985,-0.0024000000000000002
27,1986,-0.0092
27,1987,-0.0132
27,1988,-0.0137
27,1989,-0.010400000000000001
27,1990,-0.0035
27,1991,0.0059
27,1992,0.016800000000000002
27,1993,0.0281
27,1994,0.0386
27,1995,0.0465
27,1996,0.049800000000000004
27,1997,0.047
27,1998,0.038200000000000005
27,1999,0.0251
27,2000,0.0103
27,2001,-0.0032
27,2002,-0.013000000000000001
27,2003,-0.0182
27,2004,-0.0187
27,2005,-0.0151
27,2006,-0.0085
27,2007,-0.001
27,2008,0.0054
27,2009,0.009300000000000001
27,2010,0.01
27,2011,0.0082
27,2012,0.0047
27,2013,0.0067
27,2014,0.0089
27,2015,0.0111
27,2016,0.0131
27,2017,0.0149
27,2018,0.0163
27,2019,0.0173
27,2020,0.0168
27,2021,0.0162
27,2022,0.0155
27,2023,0.0146
27,2024,0.0138
27,2025,0.0131
27,2026,0.0124
27,2027,0.0117
27,2028,0.0111
27,2029,0.0107
27,2030,0.0103
27,2031,0.0101
28,1951,0.0212
28,1952,0.0221
28,1953,0.0227
28,1954,0.0224
28,1955,0.0212
28,1956,0.019
28,1957,0.0159
28,1958,0.012
28,1959,0.007200000000000001
28,1960,0.0019
28,1961,-0.004
28,1962,-0.010100000000000001
28,1963,-0.015700000000000002
28,1964,-0.0201
28,1965,-0.0227
28,1966,-0.023200000000000002
28,1967,-0.021400000000000002
28,1968,-0.017400000000000002
28,1969,-0.0117
28,1970,-0.0049
28,1971,0.0019
28,1972,0.0079
28,1973,0.0125
28,1974,0.0154
28,1975,0.016300000000000002
28,1976,0.0155
28,1977,0.013900000000000001
28,1978,0.0125
28,1979,0.012
28,1980,0.012400000000000001
28,1981,0.012700000000000001
28,1982,0.0112
28,1983,0.006900000000000001
28,1984,0.0001
28,1985,-0.0076
28,1986,-0.014100000000000001
28,1987,-0.0176
28,1988,-0.0175
28,1989,-0.013600000000000001
28,1990,-0.0061
28,1991,0.004
28,1992,0.0159
28,1993,0.0285
28,1994,0.0405
28,1995,0.0499
28,1996,0.0546
28,1997,0.0526
28,1998,0.044000000000000004
28,1999,0.0304
28,2000,0.0149
28,2001,0.0006000000000000001
28,2002,-0.0102
28,2003,-0.0164
28,2004,-0.0177
28,2005,-0.015000000000000001
28,2006,-0.009300000000000001
28,2007,-0.0026000000000000003
28,2008,0.0032
28,2009,0.006500000000000001
28,2010,0.006900000000000001
28,2011,0.0048000000000000004
28,2012,0.0011
28,2013,0.003
28,2014,0.0053
28,2015,0.0077
28,2016,0.0101
28,2017,0.0123
28,2018,0.0142
28,2019,0.0157
28,2020,0.0166
28,2021,0.0162
28,2022,0.0155
28,2023,0.0146
28,2024,0.0138
28,2025,0.0131
28,2026,0.0124
28,2027,0.0117
28,2028,0.0111
28,2029,0.0107
28,2030,0.0103
28,2031,0.0101
29,1951,0.026500000000000003
29,1952,0.026000000000000002
29,1953,0.0253
29,1954,0.0238
29,1955,0.021500000000000002
29,1956,0.0184
29,1957,0.0146
29,1958,0.010400000000000001
29,1959,0.0057
29,1960,0.0006000000000000001
29,1961,-0.0049
29,1962,-0.010400000000000001
29,1963,-0.0155
29,1964,-0.0194
29,1965,-0.021500000000000002
29,1966,-0.0216
29,1967,-0.019700000000000002
29,1968,-0.015700000000000002
29,1969,-0.010100000000000001
29,1970,-0.0035
29,1971,0.0032
29,1972,0.009300000000000001
29,1973,0.014100000000000001
29,1974,0.0172
29,1975,0.0183
29,1976,0.0175
29,1977,0.0155
29,1978,0.0134
29,1979,0.0118
29,1980,0.0108
29,1981,0.0097
29,1982,0.007
29,1983,0.0019
29,1984,-0.0053
29,1985,-0.013000000000000001
29,1986,-0.019100000000000002
29,1987,-0.0221
29,1988,-0.021400000000000002
29,1989,-0.016900000000000002
29,1990,-0.009000000000000001
29,1991,0.0017000000000000001
29,1992,0.0143
29,1993,0.028
29,1994,0.0415
29,1995,0.0526
29,1996,0.0587
29,1997,0.0577
29,1998,0.0495
29,1999,0.0359
29,2000,0.0199
29,2001,0.0049
29,2002,-0.0066
29,2003,-0.0135
29,2004,-0.0158
29,2005,-0.013900000000000001
29,2006,-0.0092
29,2007,-0.0034000000000000002
29,2008,0.0015
29,2009,0.004200000000000001
29,2010,0.004200000000000001
29,2011,0.0019
29,2012,-0.002
29,2013,-0.0002
29,2014,0.002
29,2015,0.0046
29,2016,0.0073
29,2017,0.0098
29,2018,0.0121
29,2019,0.014
29,2020,0.0153
29,2021,0.0161
29,2022,0.0155
29,2023,0.0146
29,2024,0.0138
29,2025,0.0131
29,2026,0.0124
29,2027,0.0117
29,2028,0.0111
29,2029,0.0107
29,2030,0.0103
29,2031,0.0101
30,1951,0.0309
30,1952,0.029300000000000003
30,1953,0.0273
30,1954,0.024800000000000003
30,1955,0.021500000000000002
30,1956,0.0176
30,1957,0.0134
30,1958,0.009000000000000001
30,1959,0.0044
30,1960,-0.0004
30,1961,-0.0055000000000000005
30,1962,-0.010700000000000001
30,1963,-0.0152
30,1964,-0.0187
30,1965,-0.0204
30,1966,-0.020300000000000002
30,1967,-0.0183
30,1968,-0.0143
30,1969,-0.0088
30,1970,-0.0022
30,1971,0.0045000000000000005
30,1972,0.0108
30,1973,0.0159
30,1974,0.0193
30,1975,0.0206
30,1976,0.0199
30,1977,0.0177
30,1978,0.0149
30,1979,0.0122
30,1980,0.0099
30,1981,0.0073
30,1982,0.0033
30,1983,-0.0028
30,1984,-0.010400000000000001
30,1985,-0.0182
30,1986,-0.0241
30,1987,-0.026500000000000003
30,1988,-0.0252
30,1989,-0.020200000000000003
30,1990,-0.0119
30,1991,-0.0009000000000000001
30,1992,0.0123
30,1993,0.0269
30,1994,0.041800000000000004
30,1995,0.054400000000000004
30,1996,0.061900000000000004
30,1997,0.062
30,1998,0.054400000000000004
30,1999,0.0409
30,2000,0.024900000000000002
30,2001,0.009600000000000001
30,2002,-0.0024000000000000002
30,2003,-0.01
30,2004,-0.0129
30,2005,-0.012
30,2006,-0.0083
30,2007,-0.0035
30,2008,0.0006000000000000001
30,2009,0.0027
30,2010,0.0022
30,2011,-0.0004
30,2012,-0.0045000000000000005
30,2013,-0.003
30,2014,-0.0008
30,2015,0.0018
30,2016,0.0046
30,2017,0.0075
30,2018,0.0101
30,2019,0.0123
30,2020,0.014
30,2021,0.0151
30,2022,0.0155
30,2023,0.0146
30,2024,0.0138
30,2025,0.0131
30,2026,0.0124
30,2027,0.0117
30,2028,0.0111
30,2029,0.0107
30,2030,0.0103
30,2031,0.0101
31,1951,0.0345
31,1952,0.0318
31,1953,0.028900000000000002
31,1954,0.025400000000000002
31,1955,0.021400000000000002
31,1956,0.016800000000000002
31,1957,0.0123
31,1958,0.0078000000000000005
31,1959,0.0033
31,1960,-0.0012000000000000001
31,1961,-0.006
31,1962,-0.0108
31,1963,-0.0149
31,1964,-0.018000000000000002
31,1965,-0.0195
31,1966,-0.019200000000000002
31,1967,-0.0171
31,1968,-0.0132
31,1969,-0.0076
31,1970,-0.001
31,1971,0.0059
31,1972,0.0123
31,1973,0.0178
31,1974,0.021500000000000002
31,1975,0.023100000000000002
31,1976,0.022600000000000002
31,1977,0.020200000000000003
31,1978,0.016900000000000002
31,1979,0.013300000000000001
31,1980,0.0098
31,1981,0.0058000000000000005
31,1982,0.0004
31,1983,-0.0066
31,1984,-0.0149
31,1985,-0.0228
31,1986,-0.0285
31,1987,-0.030600000000000002
31,1988,-0.028900000000000002
31,1989,-0.0235
31,1990,-0.015000000000000001
31,1991,-0.0037
31,1992,0.0099
31,1993,0.0253
31,1994,0.0413
31,1995,0.055200000000000006
31,1996,0.064
31,1997,0.0651
31,1998,0.058100000000000006
31,1999,0.0451
31,2000,0.029300000000000003
31,2001,0.014
31,2002,0.0019
31,2003,-0.0059
31,2004,-0.0094
31,2005,-0.009300000000000001
31,2006,-0.006500000000000001
31,2007,-0.0027
31,2008,0.0005
31,2009,0.0019
31,2010,0.001
31,2011,-0.002
31,2012,-0.0064
31,2013,-0.0051
31,2014,-0.0032
31,2015,-0.0006
31,2016,0.0023
31,2017,0.0053
31,2018,0.0081
31,2019,0.0107
31,2020,0.0127
31,2021,0.014
31,2022,0.0146
31,2023,0.0146
31,2024,0.0138
31,2025,0.0131
31,2026,0.0124
31,2027,0.0117
31,2028,0.0111
31,2029,0.0107
31,2030,0.0103
31,2031,0.0101
32,1951,0.037200000000000004
32,1952,0.033600000000000005
32,1953,0.029900000000000003
32,1954,0.0258
32,1955,0.0211
32,1956,0.0161
32,1957,0.011300000000000001
32,1958,0.0068000000000000005
32,1959,0.0025
32,1960,-0.0019
32,1961,-0.0064
32,1962,-0.0108
32,1963,-0.0146
32,1964,-0.017400000000000002
32,1965,-0.018600000000000002
32,1966,-0.0182
32,1967,-0.0161
32,1968,-0.012100000000000001
32,1969,-0.0066
32,1970,0.0001
32,1971,0.0071
32,1972,0.013800000000000002
32,1973,0.0196
32,1974,0.023700000000000002
32,1975,0.0256
32,1976,0.0252
32,1977,0.0228
32,1978,0.019200000000000002
32,1979,0.015000000000000001
32,1980,0.0105
32,1981,0.0053
32,1982,-0.0012000000000000001
32,1983,-0.009300000000000001
32,1984,-0.0182
32,1985,-0.026500000000000003
32,1986,-0.0323
32,1987,-0.0342
32,1988,-0.0323
32,1989,-0.026600000000000002
32,1990,-0.0179
32,1991,-0.0064
32,1992,0.007500000000000001
32,1993,0.0235
32,1994,0.0402
32,1995,0.0551
32,1996,0.0649
32,1997,0.0669
32,1998,0.0606
32,1999,0.048100000000000004
32,2000,0.0328
32,2001,0.0179
32,2002,0.0061
32,2003,-0.0016
32,2004,-0.0054
32,2005,-0.0058000000000000005
32,2006,-0.0039000000000000003
32,2007,-0.0011
32,2008,0.0013000000000000002
32,2009,0.002
32,2010,0.0006000000000000001
32,2011,-0.0027
32,2012,-0.0074
32,2013,-0.0066
32,2014,-0.0049
32,2015,-0.0025
32,2016,0.0004
32,2017,0.0034
32,2018,0.0064
32,2019,0.0091
32,2020,0.0113
32,2021,0.0129
32,2022,0.0137
32,2023,0.0139
32,2024,0.0138
32,2025,0.0131
32,2026,0.0124
32,2027,0.0117
32,2028,0.0111
32,2029,0.0107
32,2030,0.0103
32,2031,0.0101
33,1951,0.039
33,1952,0.034800000000000005
33,1953,0.030500000000000003
33,1954,0.025900000000000003
33,1955,0.0207
33,1956,0.0155
33,1957,0.0105
33,1958,0.006
33,1959,0.0018000000000000002
33,1960,-0.0024000000000000002
33,1961,-0.0066
33,1962,-0.010700000000000001
33,1963,-0.0143
33,1964,-0.016800000000000002
33,1965,-0.0178
33,1966,-0.017400000000000002
33,1967,-0.0152
33,1968,-0.0112
33,1969,-0.0056
33,1970,0.0011
33,1971,0.0083
33,1972,0.0152
33,1973,0.0212
33,1974,0.0256
33,1975,0.027800000000000002
33,1976,0.027600000000000003
33,1977,0.025400000000000002
33,1978,0.0217
33,1979,0.0172
33,1980,0.012
33,1981,0.0059
33,1982,-0.0017000000000000001
33,1983,-0.0106
33,1984,-0.020200000000000003
33,1985,-0.029
33,1986,-0.035
33,1987,-0.0371
33,1988,-0.0351
33,1989,-0.029400000000000003
33,1990,-0.0206
33,1991,-0.009000000000000001
33,1992,0.0051
33,1993,0.021400000000000002
33,1994,0.0386
33,1995,0.0541
33,1996,0.0646
33,1997,0.06720000000000001
33,1998,0.061500000000000006
33,1999,0.0497
33,2000,0.0351
33,2001,0.021
33,2002,0.0098
33,2003,0.0025
33,2004,-0.0012000000000000001
33,2005,-0.0019
33,2006,-0.0007
33,2007,0.0014
33,2008,0.003
33,2009,0.003
33,2010,0.0011
33,2011,-0.0026000000000000003
33,2012,-0.0077
33,2013,-0.0072
33,2014,-0.0059
33,2015,-0.0037
33,2016,-0.0011
33,2017,0.0018
33,2018,0.0048
33,2019,0.0076
33,2020,0.0099
33,2021,0.0117
33,2022,0.0127
33,2023,0.0131
33,2024,0.0132
33,2025,0.0131
33,2026,0.0124
33,2027,0.0117
33,2028,0.0111
33,2029,0.0107
33,2030,0.0103
33,2031,0.0101
34,1951,0.04
34,1952,0.035500000000000004
34,1953,0.0308
34,1954,0.0258
34,1955,0.0204
34,1956,0.0151
34,1957,0.01
34,1958,0.0055000000000000005
34,1959,0.0013000000000000002
34,1960,-0.0027
34,1961,-0.0067
34,1962,-0.0106
34,1963,-0.013900000000000001
34,1964,-0.0162
34,1965,-0.0171
34,1966,-0.0166
34,1967,-0.0143
34,1968,-0.0103
34,1969,-0.0047
34,1970,0.0021000000000000003
34,1971,0.0094
34,1972,0.0165
34,1973,0.0227
34,1974,0.0273
34,1975,0.0297
34,1976,0.0298
34,1977,0.027800000000000002
34,1978,0.024200000000000003
34,1979,0.0196
34,1980,0.014100000000000001
34,1981,0.0073
34,1982,-0.0009000000000000001
34,1983,-0.0105
34,1984,-0.020800000000000003
34,1985,-0.030000000000000002
34,1986,-0.036500000000000005
34,1987,-0.038900000000000004
34,1988,-0.037200000000000004
34,1989,-0.0317
34,1990,-0.0229
34,1991,-0.0114
34,1992,0.0028
34,1993,0.019200000000000002
34,1994,0.036500000000000005
34,1995,0.0522
34,1996,0.0631
34,1997,0.0661
34,1998,0.061000000000000006
34,1999,0.0499
34,2000,0.0361
34,2001,0.023
34,2002,0.0128
34,2003,0.006200000000000001
34,2004,0.0029000000000000002
34,2005,0.0021000000000000003
34,2006,0.003
34,2007,0.0045000000000000005
34,2008,0.0054
34,2009,0.0049
34,2010,0.0026000000000000003
34,2011,-0.0016
34,2012,-0.0071
34,2013,-0.0071
34,2014,-0.0061
34,2015,-0.0044
34,2016,-0.002
34,2017,0.0007
34,2018,0.0035
34,2019,0.0062
34,2020,0.0086
34,2021,0.0105
34,2022,0.0117
34,2023,0.0123
34,2024,0.0126
34,2025,0.0126
34,2026,0.0124
34,2027,0.0117
34,2028,0.0111
34,2029,0.0107
34,2030,0.0103
34,2031,0.0101
35,1951,0.0402
35,1952,0.0356
35,1953,0.0308
35,1954,0.0256
35,1955,0.020200000000000003
35,1956,0.0148
35,1957,0.0097
35,1958,0.005200000000000001
35,1959,0.0011
35,1960,-0.0029000000000000002
35,1961,-0.0067
35,1962,-0.0103
35,1963,-0.0134
35,1964,-0.0155
35,1965,-0.0164
35,1966,-0.0158
35,1967,-0.013600000000000001
35,1968,-0.0095
35,1969,-0.0038
35,1970,0.0031000000000000003
35,1971,0.0105
35,1972,0.0176
35,1973,0.0239
35,1974,0.0286
35,1975,0.031200000000000002
35,1976,0.0316
35,1977,0.029900000000000003
35,1978,0.026600000000000002
35,1979,0.0222
35,1980,0.0165
35,1981,0.009600000000000001
35,1982,0.001
35,1983,-0.0091
35,1984,-0.0199
35,1985,-0.0296
35,1986,-0.036500000000000005
35,1987,-0.0395
35,1988,-0.038200000000000005
35,1989,-0.0332
35,1990,-0.024800000000000003
35,1991,-0.0135
35,1992,0.0005
35,1993,0.0167
35,1994,0.0339
35,1995,0.049600000000000005
35,1996,0.060500000000000005
35,1997,0.06380000000000001
35,1998,0.059300000000000005
35,1999,0.0489
35,2000,0.036000000000000004
35,2001,0.024
35,2002,0.0149
35,2003,0.009300000000000001
35,2004,0.0067
35,2005,0.006200000000000001
35,2006,0.006900000000000001
35,2007,0.0081
35,2008,0.0085
35,2009,0.0076
35,2010,0.0048000000000000004
35,2011,0.0002
35,2012,-0.0057
35,2013,-0.0061
35,2014,-0.0056
35,2015,-0.0043
35,2016,-0.0024
35,2017,0.0
35,2018,0.0025
35,2019,0.0051
35,2020,0.0075
35,2021,0.0094
35,2022,0.0107
35,2023,0.0114
35,2024,0.0119
35,2025,0.0121
35,2026,0.012
35,2027,0.0117
35,2028,0.0111
35,2029,0.0107
35,2030,0.0103
35,2031,0.0101
36,1951,0.0398
36,1952,0.0352
36,1953,0.030500000000000003
36,1954,0.025400000000000002
36,1955,0.02
36,1956,0.014700000000000001
36,1957,0.009600000000000001
36,1958,0.0051
36,1959,0.0011
36,1960,-0.0028
36,1961,-0.006500000000000001
36,1962,-0.0099
36,1963,-0.0129
36,1964,-0.0149
36,1965,-0.015700000000000002
36,1966,-0.0151
36,1967,-0.0128
36,1968,-0.008700000000000001
36,1969,-0.003
36,1970,0.004
36,1971,0.0114
